file,name,wins,losses,games,win_rate,terminal,colors,total_cards,draft_id,build_index
2wins_5games_3losses_wr40_id131530.dck,2wins_5games_3losses_wr40_id131530,2,3,5,40.00,eliminated,WR,40,dc09051b9bff4566a7da1e53c9474cb9,0
1wins_4games_3losses_wr25_id131641.dck,1wins_4games_3losses_wr25_id131641,1,3,4,25.00,eliminated,UR,40,db539497562345b3a5ca24276f1a82d9,0
0wins_3games_3losses_wr0_id091369.dck,0wins_3games_3losses_wr0_id091369,0,3,3,0.00,eliminated,WR,40,0652c0b015f7453e98707923e30e4d69,0
6wins_9games_3losses_wr67_id006739.dck,6wins_9games_3losses_wr67_id006739,6,3,9,66.67,eliminated,UR,40,34395cdad6a141c3a363a2a82e74b32b,0
3wins_6games_3losses_wr50_id089863.dck,3wins_6games_3losses_wr50_id089863,3,3,6,50.00,eliminated,UR,40,f2ba8332911e4a1486224b49217c6374,0
1wins_4games_3losses_wr25_id064267.dck,1wins_4games_3losses_wr25_id064267,1,3,4,25.00,eliminated,BR,40,759539f34df94789b55ad64d199625c4,0
6wins_9games_3losses_wr67_id101996.dck,6wins_9games_3losses_wr67_id101996,6,3,9,66.67,eliminated,UBRG,41,ade5779a7a714ba3aaf9efeb02820d44,0
4wins_7games_3losses_wr57_id023902.dck,4wins_7games_3losses_wr57_id023902,4,3,7,57.14,eliminated,BG,40,55649f793a7143138845cae5a6a6ddb6,0
3wins_6games_3losses_wr50_id074323.dck,3wins_6games_3losses_wr50_id074323,3,3,6,50.00,eliminated,UR,40,2166502aee424b48abc5f22a8f5b3ba2,0
1wins_4games_3losses_wr25_id123240.dck,1wins_4games_3losses_wr25_id123240,1,3,4,25.00,eliminated,UG,40,2107412ea69d483b9bac61b189be6f01,0
3wins_6games_3losses_wr50_id074487.dck,3wins_6games_3losses_wr50_id074487,3,3,6,50.00,eliminated,URG,40,35391cc9b7374fbb8cbf088337929c86,1
0wins_3games_3losses_wr0_id050996.dck,0wins_3games_3losses_wr0_id050996,0,3,3,0.00,eliminated,WUR,40,a604a77873824cbf82b4b764be80bf70,0
